id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
4492,1729,1729,2015/2016,19,8197,8456,0,0,4.33,4,1.85,4,4,1.85,4,3.8,1.8,3.75,3.75,1.91,4.4,4.1,1.8
4493,1729,1729,2015/2016,19,10260,8455,0,0,2.6,3.3,3,2.6,3.25,2.9,2.5,3.1,2.8,2.62,3.1,3,2.6,3.25,3
4494,1729,1729,2015/2016,19,9850,10252,2,0,2.05,3.6,3.8,2,3.3,3.7,2,3.3,3.8,2.05,3.4,3.6,2.05,3.5,4
4495,1729,1729,2015/2016,19,8472,8650,0,1,5.5,3.9,1.7,5,3.75,1.72,5,3.6,1.67,4.75,3.6,1.75,5.5,3.75,1.73
4496,1729,1729,2015/2016,19,9817,8586,1,2,3.75,3.5,2.1,3.5,3.3,2.15,3.6,3.3,2.05,3.5,3.25,2.15,3.9,3.4,2.1
4497,1729,1729,2015/2016,19,8659,10261,1,0,2.2,3.25,3.75,2.2,3.25,3.2,2.1,3.2,3.6,2.25,3.2,3.3,2.2,3.3,3.8
4498,1729,1729,2015/2016,19,8654,8466,2,1,3.6,3.4,2.2,3.25,3.3,2.2,3.3,3.25,2.2,3.4,3.2,2.2,3.6,3.3,2.25
4499,1729,1729,2015/2016,2,10252,10260,0,1,5.5,3.8,1.73,5,3.75,1.75,5.5,3.6,1.73,5.5,3.6,1.75,5.5,3.8,1.75
4500,1729,1729,2015/2016,2,9826,9825,1,2,5.25,3.9,1.73,5,3.75,1.75,5,3.75,1.75,5,3.5,1.75,5.2,3.8,1.75
4501,1729,1729,2015/2016,2,8650,8678,1,0,1.45,4.75,8,1.48,4.75,7.25,1.45,4.5,7.5,1.5,4.2,6.5,1.45,4.75,8.5
4502,1729,1729,2015/2016,2,8456,8455,3,0,2.1,3.5,3.75,2.1,3.4,3.7,2.1,3.4,3.75,2.15,3.2,3.6,2.1,3.5,3.9
4503,1729,1729,2015/2016,2,8466,8668,0,3,1.95,3.6,4.33,1.95,3.5,4.1,2,3.3,4.33,2,3.25,4,2,3.5,4.33
4504,1729,1729,2015/2016,2,8472,9850,1,3,2.5,3.3,3.1,2.5,3.1,3.2,2.4,3.3,3.1,2.5,3,3,2.55,3.2,3.13
4505,1729,1729,2015/2016,2,10003,10261,2,0,1.95,3.6,4.33,1.95,3.5,3.7,1.95,3.5,4.2,1.95,3.2,4.33,1.95,3.6,4.33
4506,1729,1729,2015/2016,2,8586,10194,2,2,1.8,3.75,5,1.8,3.7,4.1,1.8,3.75,4.75,1.8,3.3,5,1.8,3.7,5
4507,1729,1729,2015/2016,2,9817,8659,0,0,2.3,3.4,3.4,2.3,3.2,3.1,2.3,3.4,3.2,2.3,3.2,3.2,2.3,3.3,3.5
4508,1729,1729,2015/2016,2,8654,8197,1,2,2.25,3.5,3.4,2.25,3.2,3.5,2.25,3.4,3.3,2.3,3.2,3.2,2.25,3.5,3.4
4509,1729,1729,2015/2016,20,9825,10261,1,0,1.29,6.5,11,1.28,5.5,11,1.25,5.75,12,1.3,5,11,1.29,6,12
4510,1729,1729,2015/2016,20,9826,8455,0,3,3.8,3.5,2.1,3.8,3.2,2.1,3.8,3.3,2,3.75,3.2,2.1,3.8,3.5,2.1
4511,1729,1729,2015/2016,20,8668,8586,1,1,2.8,3.5,2.63,2.7,3.4,2.6,2.62,3.4,2.6,2.7,3.1,2.7,2.75,3.6,2.6
4512,1729,1729,2015/2016,20,8197,8678,0,0,1.91,3.75,4.33,1.95,3.4,3.8,1.85,3.6,4,1.95,3.4,4,1.93,3.75,4.2
4513,1729,1729,2015/2016,20,10260,10003,2,1,1.55,4.2,7,1.55,3.8,7,1.53,3.8,7,1.57,3.6,7,1.55,4.1,7.5
4514,1729,1729,2015/2016,20,9850,8466,1,0,3.2,3.4,2.4,2.9,3.25,2.4,3,3.3,2.3,3.1,3.2,2.38,3.25,3.4,2.38
4515,1729,1729,2015/2016,20,8472,10252,3,1,2.5,3.25,3.2,2.5,3.1,2.9,2.4,3.1,2.9,2.4,3.1,3.1,2.5,3.2,3.2
4516,1729,1729,2015/2016,20,9817,8456,1,2,5,4,1.75,4.75,3.75,1.75,4.75,3.8,1.7,5,3.6,1.73,5.2,4.1,1.7
4517,1729,1729,2015/2016,20,8659,10194,2,1,2.8,3.2,2.8,2.8,3.1,2.7,2.7,3,2.75,2.8,3.1,2.62,2.8,3.1,2.88
4518,1729,1729,2015/2016,20,8654,8650,2,0,4,3.5,2.05,3.8,3.4,2.05,3.8,3.4,2,3.8,3.4,2,4.1,3.4,2.05
4519,1729,1729,2015/2016,21,10252,9826,1,0,3.2,3.25,2.45,3,3.2,2.45,3,3.1,2.4,3.1,3,2.5,3.25,3.13,2.5
4520,1729,1729,2015/2016,21,8678,8654,1,3,2,3.6,4,2,3.4,3.9,1.95,3.4,3.8,2,3.4,3.8,1.95,3.75,4.1
4521,1729,1729,2015/2016,21,10003,8472,2,4,1.8,3.6,5.25,1.78,3.7,4.6,1.73,3.6,5,1.8,3.4,4.8,1.8,3.6,5.2
4522,1729,1729,2015/2016,21,8650,9825,3,3,2.88,3.4,2.6,2.9,3.25,2.6,2.75,3.3,2.5,2.9,3.2,2.5,2.88,3.5,2.55
4523,1729,1729,2015/2016,21,8455,8659,2,2,1.44,4.5,9,1.44,4.4,8.5,1.44,4.2,8,1.44,4.2,8,1.44,4.5,9
4524,1729,1729,2015/2016,21,8456,8668,0,0,1.53,4.75,6,1.53,4.75,5.75,1.48,4.5,6,1.53,4,6.5,1.53,4.6,6.25
4525,1729,1729,2015/2016,21,10261,10260,3,3,5,3.7,1.8,5,3.6,1.75,5,3.5,1.8,5,3.3,1.8,5,3.7,1.8
4526,1729,1729,2015/2016,21,8466,9817,2,0,1.95,3.5,4.33,2,3.4,4.1,1.95,3.3,4,2,3.2,4,2,3.5,4.2
4527,1729,1729,2015/2016,21,10194,9850,3,1,2.05,3.3,4.2,2.05,3.4,3.8,1.95,3.3,4,2.05,3.1,4,2,3.4,4.2
4528,1729,1729,2015/2016,21,8586,8197,0,1,1.75,3.8,5.25,1.75,3.8,4.6,1.73,3.6,4.75,1.8,3.5,4.5,1.75,3.9,5
4529,1729,1729,2015/2016,22,10252,8197,1,1,3.6,3.4,2.2,3.5,3.3,2.15,3.5,3.25,2.1,3.4,3.1,2.25,3.7,3.3,2.2
4530,1729,1729,2015/2016,22,8678,9850,3,0,1.91,3.6,4.5,1.9,3.5,4.25,1.85,3.5,4.33,1.95,3.1,4.33,1.87,3.6,4.75
4531,1729,1729,2015/2016,22,8455,8668,3,3,1.83,3.75,4.75,1.83,3.8,4.4,1.75,3.6,4.5,1.75,3.5,4.8,1.8,3.9,4.75
4532,1729,1729,2015/2016,22,8650,10260,0,1,2.3,3.25,3.5,2.3,3.1,3.5,2.2,3.25,3.3,2.4,3.1,3.1,2.38,3.3,3.2
4533,1729,1729,2015/2016,22,8456,9826,4,0,1.4,5.25,8.5,1.4,5,8.25,1.36,4.75,8,1.4,4.2,9,1.33,5.25,10
4534,1729,1729,2015/2016,22,10261,8654,2,1,2.5,3.4,3,2.55,3.2,2.9,2.4,3.3,2.88,2.62,3.1,2.75,2.55,3.4,3
4535,1729,1729,2015/2016,22,8466,8659,3,0,1.73,3.75,5.5,1.72,3.5,5.5,1.67,3.5,5.5,1.75,3.25,5.5,1.73,3.6,6
4536,1729,1729,2015/2016,22,10194,9825,0,0,4.33,3.6,1.95,4,3.6,1.95,4,3.5,1.91,4.33,3.1,1.95,4.3,3.6,1.95
4537,1729,1729,2015/2016,22,10003,9817,1,0,2.38,3.25,3.4,2.4,3.25,3.1,2.3,3.1,3.2,2.5,3.1,2.9,2.4,3.2,3.4
4538,1729,1729,2015/2016,22,8586,8472,4,1,1.36,5.25,9.5,1.36,5,8.5,1.35,4.75,9,1.4,4,10,1.36,5.4,10
4539,1729,1729,2015/2016,23,9825,8455,0,1,2.1,3.5,3.9,2.05,3.3,4,2,3.4,3.6,2.1,3.2,3.75,2.05,3.5,4
4540,1729,1729,2015/2016,23,9826,8586,1,3,3.6,3.5,2.15,3.4,3.2,2.15,3.5,3.2,2.15,3.3,3.3,2.2,3.6,3.4,2.2
4541,1729,1729,2015/2016,23,8668,10003,1,2,1.73,3.8,5.5,1.72,3.6,4.75,1.67,3.6,5.25,1.67,3.6,5.5,1.7,3.9,5.5
4542,1729,1729,2015/2016,23,8197,10194,3,0,2.1,3.5,3.8,2.1,3.25,3.5,1.95,3.3,3.8,2.05,3.25,3.8,2.1,3.4,4
4543,1729,1729,2015/2016,23,10260,8466,0,1,1.91,3.5,4.75,1.9,3.4,4.4,1.85,3.3,4.5,1.91,3.2,4.5,1.9,3.4,4.8
4544,1729,1729,2015/2016,23,9850,8650,4,5,4.33,3.5,1.95,4,3.5,1.95,3.8,3.4,1.95,4.33,3.25,1.91,4.2,3.5,2
4545,1729,1729,2015/2016,23,8472,8678,1,1,3,3.4,2.5,2.8,3.2,2.5,2.9,3.1,2.4,3,3,2.5,3,3.3,2.55
4546,1729,1729,2015/2016,23,9817,10261,2,1,2.05,3.5,4,2.1,3.4,3.3,2,3.4,3.6,2.1,3.2,3.75,2.1,3.5,3.8
4547,1729,1729,2015/2016,23,8659,10252,0,0,2.1,3.3,4,2.1,3.2,3.5,2.1,3.1,3.8,2.1,3,4,2.2,3.1,4
4548,1729,1729,2015/2016,23,8654,8456,2,2,5,4,1.73,4.6,4,1.72,4.75,3.8,1.67,5,3.6,1.73,5.4,3.8,1.73
4549,1729,1729,2015/2016,24,9825,8466,0,0,1.75,3.75,5.25,1.8,3.5,4.75,1.73,3.5,5,1.8,3.2,5,1.75,3.75,5.2
4550,1729,1729,2015/2016,24,8197,8650,2,0,2.63,3.4,2.88,2.6,3.2,2.8,2.5,3.3,2.7,2.62,3.1,2.8,2.63,3.3,2.9
4551,1729,1729,2015/2016,24,9850,8586,0,3,4.5,3.75,1.85,4.25,3.4,1.85,4.2,3.6,1.83,4.5,3.4,1.83,4.75,3.75,1.83
4552,1729,1729,2015/2016,24,8472,8456,0,1,8,4.75,1.45,6.75,4.5,1.48,6.5,4.5,1.44,7,4,1.5,8,4.75,1.45
4553,1729,1729,2015/2016,24,9817,8455,0,0,4.33,3.5,1.95,4.1,3.4,1.95,4,3.3,1.91,4,3.25,2,4.4,3.4,2
4554,1729,1729,2015/2016,24,8654,10252,2,0,1.91,3.5,4.75,1.85,3.5,4.1,1.85,3.4,4.33,1.91,3.2,4.33,1.9,3.5,4.75
