id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
1767,1729,1729,2008/2009,12,8667,8559,0,1,2.25,3.25,3.4,1.9,3.25,3.75,2.1,3.1,3.2,2.2,3.3,3.3,2.2,3.2,3.4,2.2,3.25,3.5
1768,1729,1729,2008/2009,12,8528,10194,0,0,1.8,3.4,5,1.75,3.25,4.5,1.75,3.3,4.2,1.8,3.5,4.5,1.73,3.5,5,1.75,3.4,5
1769,1729,1729,2008/2009,13,10260,10194,5,0,1.14,7.5,23,1.12,6.75,16,1.17,5.7,12,1.14,6,13,1.14,7.5,19,1.14,6.5,13
1770,1729,1729,2008/2009,13,9825,10252,0,2,1.5,4,7,1.45,3.75,7,1.5,3.8,5.5,1.44,3.75,6,1.53,3.75,7,1.45,3.75,6.5
1771,1729,1729,2008/2009,13,8654,8462,0,0,2.5,3.25,2.88,2.3,3.2,2.85,2.5,3,2.7,2.4,3.25,2.5,2.5,3.2,2.88,2.4,3.2,2.65
1772,1729,1729,2008/2009,13,8668,8549,1,1,1.83,3.5,4.5,1.75,3.3,4.45,1.85,3.2,3.8,1.8,3.3,3.75,1.83,3.4,4.5,1.9,3.4,4.35
1773,1729,1729,2008/2009,13,10261,8528,2,2,2.1,3.3,3.6,1.9,3.25,3.75,2,3.2,3.3,2,3.2,3.2,2.05,3.25,3.75,1.9,3.25,3.6
1774,1729,1729,2008/2009,13,8655,8472,1,2,2,3.4,3.8,2,3.15,3.5,2,3.2,3.3,2,3.2,3.2,2.05,3.3,3.6,2.1,3.2,3.2
1775,1729,1729,2008/2009,13,9879,8586,2,1,3.3,3.3,2.25,3.25,3.15,2.1,2.8,3.1,2.3,2.8,3.2,2.2,3.1,3.3,2.3,2.9,3.25,2.25
1776,1729,1729,2008/2009,13,8559,8650,0,2,6,3.75,1.62,5.5,3.45,1.6,4.5,3.5,1.65,5,3.25,1.62,6,3.8,1.57,5.5,3.5,1.55
